Id,Sales
1,4826.796285936286
857,4962.126938616939
1713,5120.934264069265
2569,5256.402774170275
4281,4343.000455320467
5137,3709.555692640692
5993,3542.2777677877675
6849,3495.082745310245
7705,3668.0404761904756
8561,4148.795704409969
10273,4343.000455320467
11129,4656.96168997669
11985,4661.375198412698
12841,5044.53079004329
13697,5289.898516483516
14553,5837.129246031746
16265,4154.990064935065
17121,3832.916666666667
17977,3766.661666666666
18833,3775.7242857142855
19689,3643.147261904762
20545,3936.0924999999997
22257,4154.990064935065
23113,4656.96168997669
23969,4661.375198412698
24825,5044.53079004329
25681,5289.898516483516
26537,5837.129246031746
28249,4154.990064935065
29105,3832.916666666667
29961,3766.661666666666
30817,3775.7242857142855
31673,3643.147261904762
32529,3936.0924999999997
34241,4154.990064935065
35097,4656.96168997669
35953,4661.375198412698
36809,5044.53079004329
37665,5289.898516483516
38521,5837.129246031746
40233,4154.990064935065
2,8022.3949999999995
858,8588.958134920636
1714,9558.022070707071
2570,10377.057585470084
4282,3890.959884018766
5138,5724.04369047619
5994,5343.099761904762
6850,5420.383333333334
7706,5606.2098412698415
8562,6001.900400432901
10274,3890.959884018766
11130,8032.547222222223
11986,8022.3949999999995
12842,8588.958134920636
13698,9558.022070707071
14554,10377.057585470084
16266,3890.959884018766
17122,5724.04369047619
17978,5343.099761904762
18834,5420.383333333334
19690,5606.2098412698415
20546,6001.900400432901
22258,3890.959884018766
23114,8032.547222222223
23970,8022.3949999999995
24826,8588.958134920636
25682,9558.022070707071
26538,10377.057585470084
28250,3890.959884018766
29106,5724.04369047619
29962,5343.099761904762
30818,5420.383333333334
31674,5717.988705738706
32530,6028.603968253969
34242,3890.959884018766
35098,7627.336865079365
35954,8311.174484126986
36810,8398.309543650794
37666,8891.021047286049
38522,9397.71128066378
40234,3890.959884018766
3,9757.605038017538
859,9865.88483821734
1715,11830.225634920633
2571,11846.329301531801
4283,6348.688513592198
5139,8500.36468253968
5995,7800.510732323232
6851,7852.104798534798
7707,8880.444531857032
8563,9327.647888973774
10275,6348.688513592198
11131,10638.064642857142
11987,9757.605038017538
12843,9865.88483821734
13699,11830.225634920633
14555,11846.329301531801
16267,6348.688513592198
17123,9269.410714285714
17979,9054.685
18835,8774.687222222223
19691,9772.1
20547,9633.358095238094
22259,6348.688513592198
23115,11187.144206349207
23971,11258.454285714286
24827,11499.931861471861
25683,12848.649923687424
26539,14776.368095238096
28251,6348.688513592198
29107,9269.410714285714
29963,9054.685
30819,8774.687222222223
31675,9772.1
32531,9633.358095238094
34243,6348.688513592198
35099,11187.144206349207
35955,11258.454285714286
36811,11499.931861471861
37667,12848.649923687424
38523,14776.368095238096
40235,6348.688513592198
4,7230.927700110347
860,6479.415326895327
1716,7559.460162337664
2572,8573.255665445666
4284,2667.797431483014
5140,4680.402698412699
5996,4947.690303030303
6852,4265.628181818182
7708,4420.835223387723
8564,5087.032915417915
10276,2667.797431483014
11132,5525.319642857143
11988,7230.927700110347
12844,6479.415326895327
13700,7559.460162337664
14556,8573.255665445666
16268,2667.797431483014
17124,4013.526666666667
17980,4659.737142857143
18836,3940.0958333333338
19692,4123.282896825397
20548,4703.119285714286
22260,2667.797431483014
23116,5564.412716450216
23972,6850.50003968254
24828,6235.668120490622
25684,6818.2626784326785
26540,7990.480533910535
28252,2667.797431483014
29108,4013.526666666667
29964,4659.737142857143
30820,3940.0958333333338
31676,4123.282896825397
32532,4703.119285714286
34244,2667.797431483014
35100,5564.412716450216
35956,6850.50003968254
36812,6235.668120490622
37668,6818.2626784326785
38524,7990.480533910535
40236,2667.797431483014
5,6209.602142857142
861,6919.6314590964585
1717,7697.945909090908
2573,9006.328055555558
4285,5607.048409208306
5141,5404.883076923077
5997,4930.045238095238
6853,4882.8348412698415
7709,5046.514166666667
8565,5822.027251082251
10277,5607.048409208306
11133,6799.997727133977
11989,6209.602142857142
12845,6919.6314590964585
13701,7697.945909090908
14557,9006.328055555558
16269,5607.048409208306
17125,5404.883076923077
17981,4930.045238095238
18837,4882.8348412698415
19693,5046.514166666667
20549,5822.027251082251
22261,5607.048409208306
23117,6799.997727133977
23973,6209.602142857142
24829,6919.6314590964585
25685,7697.945909090908
26541,9006.328055555558
28253,5607.048409208306
29109,5404.883076923077
29965,4930.045238095238
30821,4882.8348412698415
31677,5242.258827561326
32533,6081.699036519037
34245,5607.048409208306
35101,7131.605209235209
35957,7109.8288095238095
36813,6874.167997557997
37669,7145.187932900432
38525,9020.37673909424
40237,5607.048409208306
6,5706.0421428571435
862,6107.451226551227
1718,6492.211688311688
2574,7501.968235098236
4286,4760.859533077861
5142,4973.587258852259
5998,4610.810422077921
6854,4692.451071428572
7710,5025.697222222222
8566,5490.497068764568
10278,4760.859533077861
11134,5663.365652958153
11990,5706.0421428571435
